ordinal,snippet_id,shared_source_read,baseline_generated_read,exp1_generated_read,exp2_generated_read,exp3_generated_read,H1_variable_or_input_mismatch,H2_cross_library_fixture_type,H3_missing_outer_context,H4_side_effect_not_observed,H5_generated_only_L3,H6_empty_schema_problem,H7_join_suffix_artifact,H8_serialization_mismatch,H9_wrong_or_missing_observable,verdict,evidence,action
128,d90ed416_ibis_filter,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"The L3 generator treated scalar thresholds and path mappings as potential DataFrames, skipped the oracle, and never exercised a meaningful edge case.","Create a valid temporary CheckM TSV with no passing bins and compare both returned lists."
129,d90ed416_ibis_isin,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"The original L3 looked for a DataFrame in an argument namespace, ran only generated code, and always skipped.","Use an empty requested-coassembly list and compare both filtered frames."
130,d90ed416_ibis_join,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"The empty new-cluster edge executed only the generated implementation.","Run both implementations with schema-bearing empty pandas and Polars new-cluster frames."
131,db5fc12b_expose_date_str,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The invalid-date test accepted any exception pair and could mask generated syntax or unresolved-name errors.","Accept paired date rejection only when the generated error is not SyntaxError or NameError."
132,db5fc12b_expose_rename,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Full outputs are compared across calculated-exposure, policy-exposure, optional-renamer, and empty-input branches.",none
133,dcff23d0_filter_concat_all,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Equivalent boolean masks are used and both standard and no-selected-row concatenations are compared.",none
134,e3227f4f_split_empty_df,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Partition sizes, metadata, and row preservation are checked across zero, one, fractional, and integer split branches.",none
135,e8fa7691_design_matrix_model,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The recorder exposes appended rows, vertical headers, and returned header labels for standard and empty inputs.",none
136,ed3b46c0_base_pattern_iloc,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Tracing captures all six otherwise-local positional selections and compares standard and empty-index cases.",none
137,ed3b46c0_base_pattern_pred_concat,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"The empty-valid-index L3 ran only generated code and reported only whether it crashed.","Reset shared prediction state, run both implementations with empty predictions and indices, and compare complete outputs."
138,ed3b46c0_classification_iloc,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Tracing captures every selected train/validation local and compares standard and empty-index behaviour.",none
139,ed3b46c0_classification_pred_concat,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"The empty-valid-index block executed generated code alone; the later metric-input audit covered only the standard case.","Run both implementations with empty predictions and indices and compare the returned metrics dictionary."
140,efc0581f_azure_concat_lazy,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Library-native standard and typed-empty OCR chunks are concatenated and compared completely.",none
141,efc0581f_azure_from_dicts,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The append side effect is explicitly compared for populated and initially empty lists.",none
142,efc0581f_data_assign_bbox,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The returned assigned frame is compared for default data and an explicitly typed empty branch.",none
143,efc0581f_data_filter_page,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Complete page-filtered results are compared for present and absent page numbers.",none
144,efc0581f_data_groupby_agg_text,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The scalar text/None observable is compared for populated and schema-bearing empty word frames.",none
145,efc0581f_data_merge_cross,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,evaluation_invalid,"The extracted pandas source is syntactically truncated, so no executable behavioural oracle or defensible edge contract exists.","Re-extract the complete source fragment or exclude/disable the snippet."
146,efc0581f_dedup_nested_cross_join,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Complete cross-join results are compared for populated and typed-empty inputs.",none
147,efc0581f_dedup_redundant_filter,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both no-redundancy and explicit-redundancy branches compare complete ordered outputs.",none
148,efc0581f_dedup_vertical_sort_cumcount,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Duplicate ordering/cumcount behaviour and typed-empty output schema are compared on both sides.",none
149,efc0581f_ident_explode_cells,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Complete exploded outputs are checked for standard, null-delimiter, and malformed-delimiter cases without treating generated exceptions as matches.",none
150,efc0581f_ident_from_dicts_cross,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The returned closures are invoked and their complete cross-derived frames are compared for populated and empty line collections.",none
151,efc0581f_ident_with_columns_conditions,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Complete condition-derived frames are compared for populated and typed-empty inputs.",none
152,efc0581f_lines_filter_words,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Equivalent OCR containers are filtered and complete standard and typed-empty outputs are compared.",none
153,efc0581f_lines_from_dicts_lazy,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Complete derived line fields are compared for standard and zero-length line records.",none
154,efc0581f_lines_groupby_filter,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Returned group identifiers are compared as unordered sets where order is not contractual, with direct empty-list comparison at L3.",none
155,efc0581f_pdf_concat_lazy,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Complete concatenated PDF content is compared for populated and schema-bearing empty inputs.",none
156,efc0581f_pdf_from_dicts,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Complete constructed frames are compared for populated content and an empty record collection.",none
157,efc0581f_tesseract_concat_lazy,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both implementations concatenate equivalent standard and typed-empty OCR chunks.",none
158,efc0581f_tesseract_from_dicts,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The mutated dataframe list is the observed output for populated and initially empty lists.",none
159,efc0581f_tesseract_nan_none,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Dictionary mutation is compared with missing-value-aware equality for populated and empty mappings.",none
160,efc0581f_textract_concat_lazy,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Library-native standard and typed-empty Textract chunks are concatenated and compared completely.",none
161,efc0581f_textract_from_dicts,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The appended OCR dataframe is observed and compared for populated and empty record collections.",none
162,efc0581f_vision_concat_lazy,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both implementations concatenate equivalent standard and schema-bearing empty Vision chunks.",none
163,efc0581f_vision_from_dicts,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Constructed Vision frames are compared for populated content and an empty record collection.",none
164,f11c29ae_dataset_df_clone,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"A generated-only empty-frame smoke check duplicated the later paired comparison and could double-count an L3 failure.","Removed the redundant generated-only L3 block in all four conditions; retained paired comparisons of data X y and w."
165,f11c29ae_dataset_loc_select,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The selected dataframe and all exposed dataset views are compared on standard and empty selections.",none
166,f11c29ae_dataset_save_load,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,repair,"The missing-file edge case used a fixed relative path that could be contaminated by another or prior run.","Changed L3 to use a guaranteed-missing child path inside a fresh TemporaryDirectory in all four conditions."
167,f11c29ae_dataset_to_pandas,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"A generated-only empty conversion smoke check preceded an equivalent paired oracle comparison.","Removed the redundant generated-only L3 block in all four conditions and retained the paired empty-result comparison."
168,img2table_aws_textract_concat_lazy_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Concatenated OCR output is compared for normal and schema-bearing empty inputs on both sides.",none
169,img2table_aws_textract_list_dfs_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The side-effected dataframe list is compared after both standard and empty-record invocations.",none
170,img2table_azure_concat_lazy_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Azure dataframe concatenation is paired for populated chunks and a typed empty edge input.",none
171,img2table_azure_list_dfs_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The appended list state is the observable and is paired for standard and empty OCR records.",none
172,img2table_cells_adjacent_redundant_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Equivalent cell fixtures are used and the complete redundancy result is compared on both paths.",none
173,img2table_cells_clone_rename_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Clone and rename behavior is compared through complete returned frames for standard and empty inputs.",none
174,img2table_cells_contained_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Contained-cell identifiers are compared from equivalent fixtures including a no-match edge case.",none
175,img2table_cells_cross_join_filter_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Cross-join filtering uses clean inputs without pre-existing collision columns and compares full outputs.",none
176,img2table_cells_intersection_area_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Intersection area calculations are compared for ordinary geometry and zero-overlap geometry.",none
177,img2table_cells_overlap_diff_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Overlap differences are compared using equivalent pandas and Polars cell fixtures.",none
178,img2table_cells_redundant_removal_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The post-removal cell collection is directly observed and paired for redundant and non-redundant cases.",none
179,img2table_cells_vertical_deduplication_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Vertical deduplication outputs are compared with an explicit no-duplicate edge fixture.",none
180,img2table_cells_width_height_area_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"All derived geometry columns are compared for normal and zero-size cells.",none
181,img2table_google_vision_concat_lazy_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Google Vision concatenation is compared for populated and schema-bearing empty frame lists.",none
182,img2table_google_vision_list_dfs_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The mutated dataframe list is compared after standard and empty Vision record inputs.",none
183,img2table_lines_cross_join_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Cross-joined line pairs are compared from collision-free equivalent fixtures.",none
184,img2table_lines_df_lines_creation_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Constructed line dataframes are compared for populated and empty line collections.",none
185,img2table_lines_filter_words_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Filtered word rows are compared for standard input and an input with no retained words.",none
186,img2table_lines_groupby_sum_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Grouped sums are compared completely for standard groups and a schema-valid empty frame.",none
187,img2table_lines_intersection_assignment_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Intersection assignments are compared for matching and no-intersection cases.",none
188,img2table_lines_intersection_formula_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Derived intersection coordinates are compared for ordinary and boundary geometry.",none
189,img2table_lines_intersection_lines_filter_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Line filtering results are compared for retained and fully filtered edge inputs.",none
190,img2table_pdf_concat_lazy_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"PDF dataframe concatenation is paired for populated and typed-empty chunks.",none
191,img2table_pdf_list_dfs_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The appended PDF dataframe list is observed after both normal and empty-record calls.",none
192,marimo_chdb_cursor_rows,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The required self context is installed and restored in a finally block; cursor rows are compared on both sides.",none
193,medmodels_classic_distance_covariates_select_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Selected covariate frames are compared using library-native equivalent inputs including empty selection.",none
194,medmodels_classic_distance_match_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Matched identifiers and distances are compared under standard and boundary matching fixtures.",none
195,medmodels_medrecord_process_edges_dataframe_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Processed edge records and associated names are paired from equivalent input dataframes.",none
196,medmodels_medrecord_process_nodes_dataframe_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Processed node records and node-name outputs are both compared on the pandas and Polars paths.",none
197,medmodels_propensity_score_prop_score_migration,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"A generated-only alternate-score smoke check duplicated the paired edge comparison and could create a non-independent failure.","Removed the redundant generated-only L3 block in all four conditions; retained the paired alternate-score output comparison."
198,medmodels_propensity_score_signature_migration,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,evaluation_invalid,"The extracted snippet contains only a function signature and no executable source behavior or meaningful observable.","Kept explicit skip markers in all four conditions; exclude this snippet from behavioral scoring."
199,mexca_data_delete_filename_time_col_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Returned closures are invoked on equivalent frames and the complete column-deletion result is compared.",none
200,mexca_data_merge_audio_text_features_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Merged feature outputs are compared from equivalent inputs without artificial pre-existing suffix collisions.",none
201,mexca_data_merge_features_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The returned frame and features side effect are both compared; the no-component branch observes the unchanged state.",none
202,mexca_data_merge_video_annotation_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The appended video-annotation frame is observed for present input and the unchanged list for absent input.",none
203,mexca_data_merge_voice_features_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The appended voice-feature frame is compared and the absent-feature branch verifies no list mutation.",none
204,mpds_get_dataframe,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The global data-provider context is restored after use and complete standard and empty frames are compared.",none
205,pheval_gene_identifier_map,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Complete identifier mappings are compared for normal empty and duplicate-identifier inputs.",none
206,pheval_gene_updater_find_identifier,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Direct previous-symbol and missing-symbol lookup paths use the same self context and scalar observable.",none
207,pheval_gene_updater_find_symbol,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Existing identifiers are compared directly and the missing case requires KeyError from both implementations.",none
208,pheval_parse_hgnc_data,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The missing-resource check previously accepted any exception from both sides and could hide an unrelated generated-code error.","Required FileNotFoundError on both sides in all four conditions; unrelated TypeError failures are now exposed."
209,portfolio_momentum_roc,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The mutated portfolio dataframe is compared after standard and schema-bearing empty inputs.",none
210,portfolio_momentum_rsi,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both implementations receive library-native equivalent price histories and the full mutated state is compared.",none
211,portfolio_momentum_stoch_osc,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Standard and empty price histories are applied symmetrically and the resulting object state is observed.",none
212,portfolio_momentum_stoch_rsi,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The same oscillator parameters and equivalent dataframe schemas are used for both standard and empty cases.",none
213,portfolio_stock_from_pandas,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The source Datetime index contract is retained in the pandas observable and compared with the generated frame including empty history.",none
214,portfolio_stock_to_dict,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The loop's final local record is captured on both sides to observe otherwise non-returning behavior including an empty dataframe.",none
215,quant_backtester_calculate_returns_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Equivalent signals and self.data variants cover pairs single-asset and missing-Close paths while preserving index semantics.",none
216,quant_backtester_performance_metrics_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Scalar drawdown results are compared for variable and zero-variance return histories with restored self state.",none
217,quant_trading_strategy_backtester_data_load_yfinance_data_two_tickers_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both loaders use identical deterministic yfinance substitutes and compare the complete indexed result for distinct and repeated tickers.",none
218,readnext_hybrid_score_compare_scores_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,repair,"A final generated-only inner-function execution repeated behavior already exercised by paired L2 and L3 tests and duplicated failures.","Removed the redundant generated-only execution block in all four conditions."
219,readnext_hybrid_score_to_frame_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Returned score frames are compared for standard rounded values and zero-valued schema preservation.",none
220,scoring_compare_methylation_pattern_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"All selection branches receive equivalent pandas and Polars inputs and the aggregated output is compared.",none
221,scoring_compare_methylation_pattern_multiprocessed_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"A deterministic pool substitute executes both paths and both score frames and missing-contig lists are observed.",none
222,scoring_define_mean_methylation_thresholds_migration,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,repair,"The pandas source mutates its argument and returns None while native Polars returns a replacement frame; L2 incorrectly compared the raw returns.","Changed L2 to compare the mutated pandas input with the returned Polars frame in all four conditions."
223,scoring_process_bin_contig_merge_migration,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,repair,"The no-match L3 passed missing-contig to pandas but the ordinary contig identifier to generated code causing a false mismatch in every experiment.","Passed missing-contig to both implementations in all four conditions."
224,src_onemod_utils_parameters_create_params_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Cartesian parameter frames are compared completely and both empty-dictionary paths explicitly return None.",none
225,src_onemod_utils_parameters_get_params_migration,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Dictionary outputs are compared for the selected row and first-row boundary using library-native equivalent frames.",none
226,tesseract_ocr_concat_lazy,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Concatenated OCR output is compared for populated and schema-bearing empty chunks.",none
227,tesseract_ocr_from_dicts,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The actual mutated list entry is observed after standard and empty record collections on both sides.",none
228,ultralytics_benchmarks_config,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Configuration side effects rather than None returns are compared and repeated application is checked for stability.",none
229,ultralytics_benchmarks_dataframe,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Complete benchmark tables are compared for populated empty and null-metric rows.",none
230,ultralytics_benchmarks_metrics,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Standard output and verbose threshold branches require equivalent results or exact AssertionError behavior on both sides.",none
231,ultralytics_trainer_read_csv,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,repair,"The empty-CSV edge test wrote to a fixed shared /tmp filename and could collide with concurrent or stale runs.","Moved the fixture into a fresh TemporaryDirectory and restored self.csv in finally in all four conditions."
232,ultralytics_wb_custom_table,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Equivalent fake table objects and row fixtures are used and complete standard and empty outputs are compared.",none
233,visivo_sqlalchemy_read_sql,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Deterministic connection and result doubles exercise populated and empty queries with restored connection state.",none
234,vnc_cmatrix_loc_filter_item,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The returned body-id lookup helper is invoked against equivalent lookups for present and missing identifiers.",none
235,vnc_cmatrix_lookup_init,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Initialized lookup side effects are compared and invalid cross-library lookup types must both raise ValueError.",none
236,vnc_cmatrix_reindex,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The mutated lookup is observed for shuffled null-containing and shape-mismatch cases with corresponding library inputs.",none
237,vnc_cmatrix_sort_tolist,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Returned column-index helpers are exercised for default body-id and missing-id paths with equivalent supporting methods.",none
238,vnc_cmatrix_uid_to_index,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Return values and supplied row and column buffers are jointly observed including null filtering.",none
