repo,sha,author,date_iso,subject,isolated_units,macro_groups,pandas_types_union,polars_types_union,is_tangled,changed_py_files
business-science/pytimetk,5334eccfbaed378f952c2d2e5ba1d03108f7971f,amr,2023-10-13T17:24:13-07:00,Add Polars backend support to augment_expanding function,1,Core dataframe transforms;Types & schema,Other pandas API,Core dataframe transforms;Types & schema,False,src/pytimetk/core/expanding.py
business-science/pytimetk,a001eead54b7fe1b57d913eb276e67950330db82,JB Kurland,2023-10-13T08:44:59-04:00,Update leads.py,1,Core dataframe transforms,Other pandas API,Core dataframe transforms,False,src/pytimetk/core/leads.py
business-science/pytimetk,5bbce994046d5615082a82a346ad20a085019d81,JB Kurland,2023-10-13T07:59:29-04:00,Update lags.py,1,Core dataframe transforms,Other pandas API,Core dataframe transforms,False,src/pytimetk/core/lags.py
diegosoc/datathon2023,13fd45a9abf993014ecb19633b9941257a2cff0c,dcastf,2023-11-18T20:13:24+01:00,pandas to polars,1,Core dataframe transforms,DataFrame,Other polars API,False,src/datathon2023/pipelines/70_ingest_elastic/node.py
disruptive-technologies/python-client,ec5f3dd2e707ff04465b73e132280df9886d7229,Johannes H. Gjeraker,2024-05-15T10:55:03+02:00,support both pandas and polars dataframe conversions,1,Core dataframe transforms,DataFrame,Other polars API,False,disruptive/resources/eventhistory.py
durandtibo/coola,f532b55e6d441024534d3f5895b7150db5e10141,Copilot,2026-01-16T06:58:42-08:00,"Refactor tests/package_checks.py: reduce duplication, add error handling, fix logging bug (#1309)",1,Aggregation & joins;Core dataframe transforms,DataFrame;General functions,Other polars API,False,tests/package_checks.py
durandtibo/flamme,1eaabe79fac81358048c8b0526f77608c9c839d3,Thibaut Durand,2024-07-15T12:12:21-07:00,Remove `pandas` dependency (#630),1,Core dataframe transforms,DataFrame,Other polars API,False,tests/unit/utils/test_path.py
durandtibo/flamme,8a0f20383c84a4d0c17e72d5179d719ca2d467cf,Thibaut Durand,2024-07-12T10:27:19-07:00,Adapt analyzers to work with polars DataFrame (#550),5,Core dataframe transforms,DataFrame,Other polars API,False,src/flamme/analyzer/continuous.py;src/flamme/analyzer/continuous_advanced.py;src/flamme/analyzer/continuous_drift.py;src/flamme/analyzer/discrete.py;src/flamme/analyzer/frame_summary.py
durandtibo/flamme,d0540221e17d136d4c488d8d9fe5f8f5a76fc249,Thibaut Durand,2024-07-11T23:23:05-07:00,Clean pandas conversions (#544),5,Core dataframe transforms,DataFrame,,False,src/flamme/analyzer/dtype.py;src/flamme/analyzer/duplicate.py;src/flamme/analyzer/null.py;src/flamme/analyzer/null_temp.py;src/flamme/analyzer/null_temp_col.py
durandtibo/flamme,dd22473fe24735d82c18396aea5cd1fb2d6834e0,Thibaut Durand,2024-07-06T10:00:22-07:00,Replace `pandas` to `polars` in `ingestor` (#497),8,IO boundary;Core dataframe transforms,DataFrame;Input/output,Input/output;Other polars API,False,src/flamme/ingestor/base.py;src/flamme/ingestor/clickhouse.py;src/flamme/ingestor/csv.py;src/flamme/ingestor/parquet.py;tests/unit/ingestor/test_clickhouse.py;tests/unit/ingestor/test_csv.py;tests/unit/ingestor/test_parquet.py;tests/unit/ingestor/test_transform.py
earthobservations/wetterdienst,771e2a444577f49e08abe28853781d9cb5de4b55,Benjamin,2025-02-10T00:23:38+01:00,Lint everything (all ruff rules) (#1419),5,Core dataframe transforms;Types & schema,"DataFrame;pandas arrays, scalars, and data types",Core dataframe transforms;Types & schema,False,wetterdienst/core/timeseries/request.py;wetterdienst/core/timeseries/values.py;wetterdienst/provider/dwd/observation/metaindex.py;wetterdienst/provider/dwd/radar/index.py;wetterdienst/provider/eccc/observation/api.py
earthobservations/wetterdienst,649fb546585619b56fd067a782d1d59cdde68f55,Benjamin Gutzmann,2024-01-28T21:21:44+01:00,Remove pandas in most places,2,Aggregation & joins;Types & schema,"General functions;pandas arrays, scalars, and data types",Other polars API,False,wetterdienst/core/timeseries/values.py;wetterdienst/provider/eaufrance/hubeau/api.py
earthobservations/wetterdienst,0ffdf231632af48cd11af90e41f0b1dd5430860f,Benjamin Gutzmann,2023-10-09T00:28:29+02:00,Replace pandas read_fwf calls by polars substitutes,3,IO boundary;Core dataframe transforms;Types & schema,Input/output,Core dataframe transforms;Input/output;Types & schema,False,wetterdienst/provider/dwd/dmo/api.py;wetterdienst/provider/dwd/mosmix/api.py;wetterdienst/provider/noaa/ghcn/api.py
earthobservations/wetterdienst,cb25a1c5adb6f1e659018b3a11f162a36500ae5f,Benjamin Gutzmann,2023-10-08T13:50:59+02:00,Use polars for reading json in WSV API,1,IO boundary,Input/output,Input/output,False,wetterdienst/provider/wsv/pegel/api.py
earthobservations/wetterdienst,177ffc5a517061bee2d9123c14ad39b31012ac07,Benjamin Gutzmann,2023-10-03T22:41:53+02:00,Fix breaking changes with polars 0.19.6,2,Core dataframe transforms;Types & schema,"pandas arrays, scalars, and data types",Core dataframe transforms;Types & schema,False,wetterdienst/provider/imgw/hydrology/api.py;wetterdienst/provider/imgw/meteorology/api.py
earthobservations/wetterdienst,3c49cad1be46c9967e9e90b2446f0dcdc7adff10,Benjamin Gutzmann,2023-05-02T18:16:18+02:00,Backend: Migrate from pandas to polars,50,IO boundary;Aggregation & joins;Time series & window;Missing values;Core dataframe transforms;Types & schema;Index & pandas-specific semantics;Other / Manual,"DataFrame;General functions;Index objects;Input/output;Missing values;Options and settings;Series;Testing;pandas arrays, scalars, and data types",Config;Core dataframe transforms;Input/output;Other polars API;Time series & window;Types & schema,False,benchmarks/interpolation.py;benchmarks/interpolation_over_time.py;benchmarks/interpolation_precipitation_difference.py;benchmarks/summary_over_time.py;docs/img/readme_img.py;example/observations_station_gaussian_model.py;tests/core/timeseries/test_interpolation.py;tests/core/timeseries/test_io.py;tests/core/timeseries/test_request.py;tests/core/timeseries/test_summary.py;tests/provider/dwd/mosmix/test_api_stations.py;tests/provider/dwd/observation/test_api_data.py;tests/provider/dwd/observation/test_api_stations.py;tests/provider/dwd/observation/test_available_datasets.py;tests/provider/dwd/observation/test_parser.py;tests/provider/eccc/test_api.py;tests/provider/noaa/ghcn/test_api_data.py;tests/provider/noaa/ghcn/test_api_stations.py;tests/ui/test_cli.py;tests/util/test_geo.py;wetterdienst/core/process.py;wetterdienst/core/timeseries/export.py;wetterdienst/core/timeseries/interpolate.py;wetterdienst/core/timeseries/request.py;wetterdienst/core/timeseries/result.py;wetterdienst/core/timeseries/summarize.py;wetterdienst/core/timeseries/tools.py;wetterdienst/core/timeseries/values.py;wetterdienst/provider/dwd/index.py;wetterdienst/provider/dwd/mosmix/access.py;wetterdienst/provider/dwd/mosmix/api.py;wetterdienst/provider/dwd/observation/api.py;wetterdienst/provider/dwd/observation/fileindex.py;wetterdienst/provider/dwd/observation/metaindex.py;wetterdienst/provider/dwd/observation/parser.py;wetterdienst/provider/dwd/radar/api.py;wetterdienst/provider/dwd/radar/index.py;wetterdienst/provider/dwd/radar/sites.py;wetterdienst/provider/ea/hydrology/api.py;wetterdienst/provider/eaufrance/hubeau/api.py;wetterdienst/provider/eccc/observation/api.py;wetterdienst/provider/geosphere/observation/api.py;wetterdienst/provider/noaa/ghcn/api.py;wetterdienst/provider/nws/observation/api.py;wetterdienst/provider/wsv/pegel/api.py;wetterdienst/ui/explorer/app.py;wetterdienst/ui/explorer/library.py;wetterdienst/ui/explorer/util.py;wetterdienst/ui/restapi.py;wetterdienst/util/geo.py
emdgroup/foundry-dev-tools,a0c7e1843fb8d3ae760d902d674baacabffe9ea7,Bernhard SchÃ¤fer,2026-01-28T13:36:30+01:00,Implement query_foundry_sql(return_type='polars') (#115),4,Core dataframe transforms;Other / Manual,DataFrame;Other pandas API,Other polars API,False,libs/foundry-dev-tools/src/foundry_dev_tools/clients/data_proxy.py;libs/foundry-dev-tools/src/foundry_dev_tools/clients/foundry_sql_server.py;libs/foundry-dev-tools/src/foundry_dev_tools/foundry_api_client.py;libs/foundry-dev-tools/src/foundry_dev_tools/resources/dataset.py
emdgroup/foundry-dev-tools,f325241c7d063aa859d8da3a5d81e840694f34e5,Waschenbacher,2025-06-23T16:16:34+02:00,feat: support polars dataframe in CachedFoundryClient.save_dataset (#103),2,Core dataframe transforms,DataFrame,Other polars API,False,libs/foundry-dev-tools/src/foundry_dev_tools/cached_foundry_client.py;tests/unit/test_cached_foundry_client.py
emdgroup/foundry-dev-tools,2a2297697b46597715d0d82797894624233f40a7,Lukas Fleckenstein,2024-10-31T12:15:16+01:00,feat: Add direct polars support to dataset class (#81) & release v2.1.10,2,Core dataframe transforms,DataFrame,Other polars API,False,libs/foundry-dev-tools/src/foundry_dev_tools/resources/dataset.py;tests/integration/resources/test_dataset.py
gadomski/pyisd,f12f5e32b460104cafdf7940407af082fa21053c,Benjamin Gutzmann,2024-02-02T19:07:25+01:00,"feat: make pandas optional, add polars",1,Other / Manual,,Other polars API,False,src/isd/batch.py
genxnetwork/grape,6fb5420dcaf21022bb5f30c80afc41e438a956f5,Egor,2023-02-10T12:53:28+03:00,"[GRAPE-145] Replaced pandas with polars, no lazy df yet",1,IO boundary;Aggregation & joins;Missing values;Core dataframe transforms;Types & schema,"General functions;Input/output;Missing values;pandas arrays, scalars, and data types",Core dataframe transforms;Input/output;Types & schema,False,scripts/postprocess_ersa.py
hanjinliu/acryo,e5f9fa838517907d28ee8ec839553326b1fa2f66,Hanjin Liu,2023-01-29T22:15:01+09:00,migrate from pandas to polars,3,IO boundary;Aggregation & joins;Core dataframe transforms,DataFrame;General functions;Input/output;Series,Input/output;Other polars API,False,acryo/loader.py;acryo/molecules.py;acryo/simulator.py
hongbo-miao/hongbomiao.com,b9437b4cfce33d32d0f61ef012bba10d41b4453b,Hongbo Miao,2024-12-28T05:46:08-08:00,perf(can): migrate from pandas to polars (#22082),1,Core dataframe transforms,DataFrame,Other polars API,False,embedded/decode-can-data/src/main.py
hongbo-miao/hongbomiao.com,d5244c2c8fb2881279fdc0b2dd8b21487cc53020,Hongbo Miao,2024-12-28T02:44:33-08:00,perf(protobuf): migrate from pandas to polars (#22080),1,Core dataframe transforms,DataFrame,Other polars API,False,data-storage/hm-protobuf/src/main.py
hongbo-miao/hongbomiao.com,eb574bb9c5430ae14fcaa10b45f6c674d650c127,Hongbo Miao,2024-12-28T01:34:39-08:00,perf(streamlit): migrate from pandas to polars (#22076),1,Core dataframe transforms;Types & schema,DataFrame,Types & schema,False,machine-learning/hm-streamlit/applications/live-line-chart/src/main.py
hongbo-miao/hongbomiao.com,2efbe975ffd7b3ae991aaefa91aca43a3db39da5,Hongbo Miao,2024-12-28T01:11:43-08:00,perf(duckdb): migrate from pandas to polars (#22075),1,Core dataframe transforms,DataFrame,Other polars API,False,data-storage/hm-duckdb/query-duckdb/src/main.py
huggingface/dataset-viewer,441036c88bbfa6a21aee1e9073697c8dd38a57f6,Polina Kazakova,2025-03-25T14:59:54+01:00,Stats for datetimes (#3007),1,Core dataframe transforms,Series,Other polars API,False,services/worker/tests/test_statistics_utils.py
huggingface/dataset-viewer,6fdebf5103b15d99716af90e9fbc680b60d123a1,Polina Kazakova,2023-12-12T18:42:23+01:00,use `polars` to compute stats over all datasets (#2182),1,IO boundary;Core dataframe transforms,DataFrame,Core dataframe transforms;Input/output,False,services/worker/src/worker/job_runners/split/descriptive_statistics.py
ibis-project/ibis,93f8e1083ae800f5c996777c429a68338fdec780,Phillip Cloud,2024-08-05T17:30:00-04:00,refactor(pandas): remove the pandas backend,2,Other / Manual,Other pandas API,Other polars API,False,ibis/backends/polars/__init__.py;ibis/backends/polars/compiler.py
ibis-project/ibis,cff210af96323e200a31888b070d126be20a5eb0,Phillip Cloud,2024-08-07T12:43:32-04:00,refactor(dependencies): pandas and numpy are now optional for non-backend installs (#9564),1,Core dataframe transforms;Types & schema,"pandas arrays, scalars, and data types",Core dataframe transforms,False,ibis/backends/polars/compiler.py
ibis-project/ibis,fa15c7ddab4492ca35e8fca23b999a0203f6c4eb,Gil Forsyth,2024-05-28T21:06:47-04:00,feat(all): enable passing in-memory data to create_table (#9251),16,Core dataframe transforms,DataFrame,Other polars API,False,ibis/backends/bigquery/__init__.py;ibis/backends/clickhouse/__init__.py;ibis/backends/datafusion/__init__.py;ibis/backends/duckdb/__init__.py;ibis/backends/exasol/__init__.py;ibis/backends/mssql/__init__.py;ibis/backends/mysql/__init__.py;ibis/backends/oracle/__init__.py;ibis/backends/polars/__init__.py;ibis/backends/postgres/__init__.py;ibis/backends/pyspark/__init__.py;ibis/backends/risingwave/__init__.py;ibis/backends/snowflake/__init__.py;ibis/backends/sqlite/__init__.py;ibis/backends/tests/test_client.py;ibis/backends/trino/__init__.py
ibis-project/ibis,464bebc1425b8b4943d515549e44d9e9c7b60371,Jim Crist-Harif,2024-02-27T11:55:15-06:00,feat(api): natively support polars dataframes in `ibis.memtable`,1,Core dataframe transforms,DataFrame,Other polars API,False,ibis/expr/api.py
ibis-project/ibis,9c0a8befacf218e941ac65635883adc9feaa5ff8,alexander-beedie,2023-06-20T23:42:43+04:00,feat(polars): support table registration from multiple parquet files,1,IO boundary;Core dataframe transforms,DataFrame,Input/output,False,ibis/backends/polars/__init__.py
ibis-project/ibis,86f2a3472f0d50aa6b20231794f3a35363c29fc7,Phillip Cloud,2023-05-27T07:07:29-04:00,feat(polars): implement `.sql` methods,1,Core dataframe transforms;Types & schema;Other / Manual,"pandas arrays, scalars, and data types",Core dataframe transforms;SQL Interface,False,ibis/backends/polars/compiler.py
ibis-project/ibis,ac59dacb6963052ad9dfa2fa6631798be845b6d3,Gil Forsyth,2022-11-03T14:39:03-04:00,refactor(polars): match duckdb registration api,1,Core dataframe transforms,DataFrame,Other polars API,False,ibis/backends/polars/__init__.py
ihmeuw-msca/OneMod,b87291c69210710da8e7985da49c1c75bfb35785,Kelly Cercy,2025-11-12T18:24:40-08:00,Pass columns and subset args through to pandas and polars to optimize memory usage (#162),1,IO boundary;Core dataframe transforms,DataFrame;Input/output,Core dataframe transforms;Input/output,False,src/onemod/fsutils/io.py
ihmeuw-msca/OneMod,85e2aaa74be729d0b3ccf6a8c06fd470e2e61f00,Wes Warriner,2024-12-21T02:24:29-07:00,"feat: make data io, loader, interface, and stage util functions use, return pandas df by default instead of polars data objects; update tests accordingly and add a few additional distinct dataif tests for pandas vs polars return types",3,Core dataframe transforms,DataFrame,Core dataframe transforms;Other polars API,False,src/onemod/fsutils/data_loader.py;src/onemod/fsutils/interface.py;src/onemod/fsutils/io.py
ihmeuw-msca/OneMod,ccb3e7caef25ee72fc749cbdbb122de8df5366e5,Wes Warriner,2024-11-14T19:22:08-08:00,"rtc: replace lazy arg with more specific backend arg to DataLoader and friends; make backend actually backend, for the sake of consistency, by separating logic for polars_lazy vs polars_eager",1,Core dataframe transforms,DataFrame,Core dataframe transforms,False,src/onemod/fsutils/data_loader.py
ihmeuw-msca/OneMod,8cd8fa4e6a3c292a39a9166c6532214990ed6766,Wes Warriner,2024-11-08T09:40:58-08:00,"feat: remove 'key' requirement for loading, dumping with datatools, allowing direct path specification; start translating pandas to polars dfs syntax; tests cleanup",3,Import/setup-only;Core dataframe transforms,DataFrame,Core dataframe transforms,False,src/onemod/stage/base.py;src/onemod/utils/parameters.py;tests/unit/datatools/test_io.py
ihmeuw-msca/OneMod,6e3419e58454d6429a6e6ecb24a4efdf9997ede6,Wes Warriner,2024-11-07T11:22:36-08:00,organize datatools io into data and config components; cleanup docstrings; replace pandas dfs with polars dfs,1,IO boundary;Core dataframe transforms,DataFrame;Input/output,Input/output,False,src/onemod/datatools/io.py
joel-beck/readnext,8017f91b39eb08a8ced4dbaf15e342e31953141c,Joel Beck,2023-06-27T14:16:22+02:00,Migrate from Pandas to Polars (#107),18,IO boundary;Aggregation & joins;Core dataframe transforms;Types & schema;Index & pandas-specific semantics,"DataFrame;General functions;Index objects;Input/output;Series;pandas arrays, scalars, and data types",Core dataframe transforms;Input/output;Other polars API,False,readnext/evaluation/metrics/evaluation_metric.py;readnext/evaluation/metrics/pairwise_metric.py;readnext/evaluation/scoring/hybrid_score.py;readnext/evaluation/scoring/hybrid_scorer.py;readnext/evaluation/scoring/model_scorer.py;readnext/evaluation/scoring/precompute_scores.py;readnext/inference/input_converter.py;readnext/modeling/language_models/embedder.py;readnext/modeling/model_data.py;readnext/scripts/evaluation/run_evaluation_components_precision_scores.py;readnext/scripts/evaluation/run_evaluation_components_unique_labels.py;readnext/scripts/evaluation/run_evaluation_hybrid_scores.py;readnext/utils/aliases.py;readnext/utils/decorators.py;readnext/utils/io.py;tests/fixtures/evaluation.py;tests/fixtures/model_data_constructor.py;tests/fixtures/toy_data.py
joel-beck/readnext,26fa18988d5efa78f2ab055e4a580f591a4800ad,Joel Beck,2023-06-05T10:44:57+02:00,Store all precomputed data as polars data frames (#94),33,Core dataframe transforms;Types & schema;Index & pandas-specific semantics,"DataFrame;Index objects;Other pandas API;Series;pandas arrays, scalars, and data types",Core dataframe transforms;Other polars API;Types & schema,False,tests/fixtures/attribute_getter_seen.py;tests/fixtures/attribute_getter_unseen.py;tests/fixtures/evaluation.py;tests/fixtures/inference_data_constructor_seen.py;tests/fixtures/inference_data_constructor_unseen.py;tests/fixtures/inference_data_seen.py;tests/fixtures/inference_data_unseen.py;tests/fixtures/input_converter.py;tests/fixtures/model_data.py;tests/fixtures/model_data_constructor.py;tests/fixtures/test_data.py;tests/fixtures/toy_data.py;tests/test_data/test_data_mimics_real_data.py;tests/test_data/test_documents_data.py;tests/test_data/test_embeddings.py;tests/test_data/test_score_dataframes.py;tests/test_evaluation/test_average_precision.py;tests/test_evaluation/test_cosine_similarity.py;tests/test_evaluation/test_count_common_citations.py;tests/test_evaluation/test_count_common_references.py;tests/test_evaluation/test_count_unique_labels.py;tests/test_evaluation/test_hybrid_scorer.py;tests/test_evaluation/test_mean_average_precision.py;tests/test_evaluation/test_precision.py;tests/test_inference/test_attribute_getter.py;tests/test_inference/test_inference_data.py;tests/test_inference/test_inference_data_constructor.py;tests/test_modeling/test_model_data/test_citation_model_data.py;tests/test_modeling/test_model_data/test_language_model_data.py;tests/test_modeling/test_model_data/test_model_data.py;tests/test_modeling/test_model_data_constructor/test_citation_model_data_constructor.py;tests/test_modeling/test_model_data_constructor/test_language_model_data_constructor.py;tests/test_modeling/test_model_data_constructor/test_model_data_constructor.py
joel-beck/readnext,8c71f3c7b1391fa42d554e97c61313e7d8f1907f,Joel Beck,2023-05-31T00:06:55+02:00,started conversion to polars,33,IO boundary;Aggregation & joins;Core dataframe transforms;Types & schema;Index & pandas-specific semantics,"DataFrame;General functions;Index objects;Input/output;Series;pandas arrays, scalars, and data types",Core dataframe transforms;Input/output;Other polars API,False,readnext/data/citation_models_features.py;readnext/evaluation/metrics/evaluation_metric.py;readnext/evaluation/metrics/pairwise_metric.py;readnext/evaluation/scoring/hybrid_score.py;readnext/evaluation/scoring/hybrid_scorer.py;readnext/evaluation/scoring/model_scorer.py;readnext/evaluation/scoring/precompute_scores.py;readnext/inference/attribute_getter/attribute_getter_base.py;readnext/inference/attribute_getter/attribute_getter_seen.py;readnext/inference/attribute_getter/attribute_getter_unseen.py;readnext/inference/inference_data_constructor.py;readnext/inference/input_converter.py;readnext/modeling/document_info.py;readnext/modeling/language_models/embedder.py;readnext/modeling/language_models/model_choice.py;readnext/modeling/model_data.py;readnext/modeling/model_data_constructor.py;readnext/scripts/data/s1_read_d3_documents_chunks.py;readnext/scripts/data/s2_preprocess_documents_chunks.py;readnext/scripts/data/s3_merge_labels_chunks.py;readnext/scripts/data/s4_combine_documents_labels_chunks.py;readnext/scripts/data/s5_read_d3_authors.py;readnext/scripts/data/s6_merge_authors.py;readnext/scripts/data/s7_merge_citations.py;readnext/scripts/data/s8_combine_documents_authors_labels_citations_chunks.py;readnext/scripts/data/s9_filter_most_cited_documents.py;readnext/scripts/evaluation/run_evaluation_components_precision_scores.py;readnext/scripts/evaluation/run_evaluation_components_unique_labels.py;readnext/scripts/evaluation/run_evaluation_hybrid_scores.py;readnext/utils/aliases.py;readnext/utils/decorators.py;readnext/utils/io.py;readnext/utils/preprocessing.py
joweich/chat-miner,a559502a33caf5cc4c9469bc998ee3786b5f7846,Jonas Weich,2023-12-23T02:41:37+01:00,Sunset pandas in favor of polars (#128),3,Aggregation & joins;Core dataframe transforms,DataFrame;General functions,Core dataframe transforms;Other polars API,False,chatminer/chatparsers.py;chatminer/nlp.py;chatminer/visualizations.py
limebit/medmodels,0ac0c8625ca8bde33fdce39b955ff6628afe27f8,MarIniOnz,2024-06-17T13:58:58+02:00,"feat: Pandas to polars, change of variable names and adding +1 neighbors.",4,Aggregation & joins;Core dataframe transforms;Index & pandas-specific semantics,DataFrame;General functions;Index objects;Testing,Other polars API,False,medmodels/matching/algorithms/classic_distance_models.py;medmodels/matching/algorithms/propensity_score.py;medmodels/matching/tests/test_classic_distance_models.py;medmodels/matching/tests/test_propensity_score.py
limebit/medmodels,4eb9b7ff22348b86e57c21877a86b5264d478d82,Jakob Kraus,2024-06-10T12:47:12+02:00,refactor: Rework Pandas DataFrame Operations to use same interface as Polars,1,Core dataframe transforms;Index & pandas-specific semantics,DataFrame;Index objects,Other polars API,False,medmodels/medrecord/medrecord.py
marimo-team/marimo,c8d94210762d8f502fd05fff2c5deccb86a7fe01,Shahmir Varqha,2025-11-25T03:07:33+08:00,pandas change to to_dict instead of to_json and fix rich elems (#7223),1,Core dataframe transforms,DataFrame,Other polars API,False,marimo/_smoke_tests/tables/big_ints.py
marimo-team/marimo,ebc0ac21b719384af86ef910f99f032c35e88742,Myles Scolnick,2025-10-14T16:04:44-04:00,"improvement: migrate mo.ui.dataframe to narwhals; support duckdb, ibis, pandas, polars (#6772)",2,IO boundary;Core dataframe transforms,DataFrame,Input/output;Other polars API,False,tests/_plugins/ui/_impl/dataframes/test_dataframe.py;tests/_plugins/ui/_impl/test_table.py
marimo-team/marimo,320894818235bb4338cef984543590948b952add,Shahmir Varqha,2025-08-12T23:08:04+08:00,refactor so that sql engines uses the same logic for returning df (#5991),3,IO boundary;Core dataframe transforms,DataFrame,Input/output;Other polars API,False,marimo/_sql/engines/clickhouse.py;marimo/_sql/engines/dbapi.py;marimo/_sql/engines/sqlalchemy.py
marimo-team/marimo,7e604334698168d0b0a6f59d960924ac2982548b,Shahmir Varqha,2025-04-11T13:54:45+08:00,improve: add clickhouse support for diff sql output types (#4456),2,IO boundary;Core dataframe transforms,DataFrame,Input/output;Other polars API,False,marimo/_sql/engines/clickhouse.py;tests/_sql/test_clickhouse.py
marimo-team/marimo,0e0b38dedb205713f221fae59bb3f99b61d9112f,Shahmir Varqha,2025-03-27T11:53:01+08:00,fix: fallback to pandas sql (#4271),2,Core dataframe transforms;Other / Manual,DataFrame;Other pandas API,Other polars API,False,marimo/_sql/engines/duckdb.py;marimo/_sql/engines/sqlalchemy.py
marimo-team/marimo,7ae245de4b8583729b03c437fe89b47e8fc375f3,Akshay Agrawal,2024-12-29T10:41:22-08:00,chore: use polars instead of pandas in examples (#3289),3,Core dataframe transforms,DataFrame,Other polars API,False,examples/sql/read_csv.py;examples/sql/read_json.py;examples/sql/read_parquet.py
marimo-team/marimo,181136b495acafce562fd691c6743be68489b0fd,Myles Scolnick,2024-10-24T16:30:36-04:00,improvement: more narwhals for table logic (#2711),1,Core dataframe transforms,DataFrame,Other polars API,False,tests/_plugins/ui/_impl/dataframes/test_dataframe.py
marimo-team/marimo,2014f45a3565fb645249336e2e6f58038366dd30,Myles Scolnick,2024-10-08T18:24:16-04:00,"fix: bump polars to 1.9.0, fix breaks in search and summaries (#2553)",1,Other / Manual,Other pandas API,Other polars API,False,tests/_plugins/core/test_json_encoder.py
marimo-team/marimo,a90a37e32b5f1408d245922a1ef2658e76db5c55,Myles Scolnick,2024-08-24T17:09:23+02:00,improvement: support polars filtering in altair (#2108),2,IO boundary;Aggregation & joins;Core dataframe transforms,DataFrame;General functions;Input/output,Core dataframe transforms;Input/output;Other polars API,False,marimo/_plugins/ui/_impl/altair_chart.py;tests/_plugins/ui/_impl/test_altair_chart.py
marimo-team/marimo,dd3ad6db1244b0237aeb2cf25ac771cf57b1ff97,Myles Scolnick,2024-08-14T16:11:06+02:00,fix: altair geo charts: don't use custom transformers and don't enable selection (#2015),1,Core dataframe transforms,DataFrame,Other polars API,False,marimo/_plugins/ui/_impl/charts/altair_transformer.py
marimo-team/marimo,fdd5d8d3f0c1af145b91fc987287652d56cb7e18,Myles Scolnick,2024-06-13T21:40:26-05:00,feat: polars support in `mo.ui.dataframe` transformations (#1612),2,Core dataframe transforms,DataFrame,Other polars API,False,tests/_plugins/ui/_impl/dataframes/test_dataframe.py;tests/_plugins/ui/_impl/dataframes/test_handlers.py
marimo-team/marimo,abb9ef60d2a4e89897f2d6aa1518cf36fbb60fe1,Myles Scolnick,2023-11-09T18:23:31-05:00,Add support for polars (#325),3,Core dataframe transforms;Other / Manual,DataFrame,Other polars API,False,marimo/_output/data/data.py;marimo/_plugins/ui/_impl/table.py;marimo/_plugins/ui/_impl/utils/dataframe.py
mattheaphy/actxpspy,11a7c52697901841e71e02b8dc15ca2058c46b2f,Matt Heaphy,2024-02-26T08:35:19-05:00,partial shiny updates for polars,1,Aggregation & joins;Core dataframe transforms;Types & schema;Index & pandas-specific semantics,DataFrame;General functions;Index objects,Core dataframe transforms;Types & schema,False,actxps/exp_shiny.py
mattheaphy/actxpspy,4bb33aa814e7bfcb5ebf6c5bd288c8c08fa6aa73,Matt Heaphy,2024-02-25T10:52:42-05:00,small TrxStats polars update,1,Core dataframe transforms,Series,Other polars API,False,actxps/trx_stats.py
mattheaphy/actxpspy,e600f705658309e6ef83e4c814cc5297c75c9bf9,Matt Heaphy,2024-02-25T10:49:19-05:00,"TrxStats __init__, from_DataFrame, and summary updates for polars",1,Core dataframe transforms,DataFrame,Core dataframe transforms,False,actxps/trx_stats.py
mattheaphy/actxpspy,764aeb65c0e206a8c3394abd8781521d7df3048e,Matt Heaphy,2024-02-25T07:18:25-05:00,TrxStats initial update for polars,1,Core dataframe transforms,DataFrame,Other polars API,False,actxps/trx_stats.py
mattheaphy/actxpspy,287a28d84daa8086ce828fbbfd657e4a77a974cc,Matt Heaphy,2024-02-25T07:08:55-05:00,updated col_select for polars. - renamed col_contains to col_matches,1,Core dataframe transforms,DataFrame;Series,Other polars API,False,actxps/col_select.py
mattheaphy/actxpspy,63022968bc89599be9f334c76f6fcc3ef38dfe0a,Matt Heaphy,2024-02-25T01:45:48-05:00,updated _pivot_plot_special to work with polars,1,Core dataframe transforms,DataFrame,Core dataframe transforms,False,actxps/tools.py
mattheaphy/actxpspy,166453829b92a9e481bf1d292c58ca40e47ab9c3,Matt Heaphy,2024-02-24T21:57:23-05:00,exp_stats.from_DataFrame update for polars,1,Core dataframe transforms,DataFrame,Core dataframe transforms,False,actxps/exp_stats.py
mattheaphy/actxpspy,2ed5d698be6a587dcb6b7f31a0c6329e84f16ebc,Matt Heaphy,2024-02-24T21:51:32-05:00,partial exp_stats update for polars,1,Core dataframe transforms,DataFrame,Core dataframe transforms,False,actxps/exp_stats.py
mattheaphy/actxpspy,142b5bcbbb85ee3d73a17e6951d199ddd1681721,Matt Heaphy,2024-02-24T11:50:54-05:00,udpated expose_split for polars,2,Aggregation & joins;Time series & window;Missing values;Core dataframe transforms;Types & schema,"DataFrame;General functions;Missing values;pandas arrays, scalars, and data types",Core dataframe transforms;Other polars API;Time series & window,False,actxps/expose_split.py;actxps/tools.py
mattheaphy/actxpspy,a39f452774c88ad6e5648cf8fac1beaccd173375,Matt Heaphy,2024-02-23T00:55:04-05:00,updated add_transactions to work with polars,1,Aggregation & joins;Core dataframe transforms,General functions,Core dataframe transforms,False,actxps/expose.py
