repo,sha,author,date_iso,subject,isolated_units,macro_groups,pandas_types_union,polars_types_union,is_tangled,changed_py_files
machow/catfact,11553e6fd17f8efde358bc0b8541b1ec9fe0274f,Michael Chow,2025-06-24T09:54:11-04:00,dev: make pandas and polars optional with LazyImport,1,Other / Manual,,,False,catfact/reorder.py
marimo-team/marimo,c8d94210762d8f502fd05fff2c5deccb86a7fe01,Shahmir Varqha,2025-11-25T03:07:33+08:00,pandas change to to_dict instead of to_json and fix rich elems (#7223),1,Other / Manual,Other pandas API,Other polars API,False,marimo/_smoke_tests/tables/big_ints.py
marimo-team/marimo,ebc0ac21b719384af86ef910f99f032c35e88742,Myles Scolnick,2025-10-14T16:04:44-04:00,"improvement: migrate mo.ui.dataframe to narwhals; support duckdb, ibis, pandas, polars (#6772)",2,Other / Manual,Other pandas API,Input/output - CSV;Input/output - JSON;Input/output - Parquet;Other polars API,False,tests/_plugins/ui/_impl/dataframes/test_dataframe.py;tests/_plugins/ui/_impl/test_table.py
marimo-team/marimo,320894818235bb4338cef984543590948b952add,Shahmir Varqha,2025-08-12T23:08:04+08:00,refactor so that sql engines uses the same logic for returning df (#5991),3,Other / Manual,Other pandas API,Functions;Input/output - IPC;Other polars API,False,marimo/_sql/engines/clickhouse.py;marimo/_sql/engines/dbapi.py;marimo/_sql/engines/sqlalchemy.py
marimo-team/marimo,7e604334698168d0b0a6f59d960924ac2982548b,Shahmir Varqha,2025-04-11T13:54:45+08:00,improve: add clickhouse support for diff sql output types (#4456),2,Other / Manual,Other pandas API,Exceptions;Functions;Input/output - IPC;Other polars API,False,marimo/_sql/engines/clickhouse.py;tests/_sql/test_clickhouse.py
marimo-team/marimo,0e0b38dedb205713f221fae59bb3f99b61d9112f,Shahmir Varqha,2025-03-27T11:53:01+08:00,fix: fallback to pandas sql (#4271),2,Other / Manual,Other pandas API,Exceptions,False,marimo/_sql/engines/duckdb.py;marimo/_sql/engines/sqlalchemy.py
marimo-team/marimo,7ae245de4b8583729b03c437fe89b47e8fc375f3,Akshay Agrawal,2024-12-29T10:41:22-08:00,chore: use polars instead of pandas in examples (#3289),3,Other / Manual,Other pandas API,Other polars API,False,examples/sql/read_csv.py;examples/sql/read_json.py;examples/sql/read_parquet.py
marimo-team/marimo,181136b495acafce562fd691c6743be68489b0fd,Myles Scolnick,2024-10-24T16:30:36-04:00,improvement: more narwhals for table logic (#2711),1,Other / Manual,Other pandas API,Other polars API,False,tests/_plugins/ui/_impl/dataframes/test_dataframe.py
marimo-team/marimo,2014f45a3565fb645249336e2e6f58038366dd30,Myles Scolnick,2024-10-08T18:24:16-04:00,"fix: bump polars to 1.9.0, fix breaks in search and summaries (#2553)",1,Other / Manual,Other pandas API,Other polars API,False,tests/_plugins/core/test_json_encoder.py
marimo-team/marimo,a90a37e32b5f1408d245922a1ef2658e76db5c55,Myles Scolnick,2024-08-24T17:09:23+02:00,improvement: support polars filtering in altair (#2108),2,IO boundary;Aggregation & joins,General functions;Input/output,Data types;Expressions - Columns/names;Expressions - Functions;Input/output - CSV;Input/output - JSON;Other polars API,False,marimo/_plugins/ui/_impl/altair_chart.py;tests/_plugins/ui/_impl/test_altair_chart.py
marimo-team/marimo,dd3ad6db1244b0237aeb2cf25ac771cf57b1ff97,Myles Scolnick,2024-08-14T16:11:06+02:00,fix: altair geo charts: don't use custom transformers and don't enable selection (#2015),1,Other / Manual,Other pandas API,Other polars API,False,marimo/_plugins/ui/_impl/charts/altair_transformer.py
marimo-team/marimo,fdd5d8d3f0c1af145b91fc987287652d56cb7e18,Myles Scolnick,2024-06-13T21:40:26-05:00,feat: polars support in `mo.ui.dataframe` transformations (#1612),2,Other / Manual,Other pandas API,Exceptions;Other polars API,False,tests/_plugins/ui/_impl/dataframes/test_dataframe.py;tests/_plugins/ui/_impl/dataframes/test_handlers.py
marimo-team/marimo,abb9ef60d2a4e89897f2d6aa1518cf36fbb60fe1,Myles Scolnick,2023-11-09T18:23:31-05:00,Add support for polars (#325),3,Other / Manual,Other pandas API,Other polars API,False,marimo/_output/data/data.py;marimo/_plugins/ui/_impl/table.py;marimo/_plugins/ui/_impl/utils/dataframe.py
mayaradaher/michelin-app,6719a2274a0a0b13efd5466e10afae7691cc31af,mayaradaher,2025-02-06T21:34:24-03:00,refactor: migrate from pandas to polars and update search functionality,2,IO boundary,Input/output,Expressions - Columns/names;Input/output - Parquet,False,pages/app_br.py;pages/app_en.py
mesa/mesa-frames,622cff642dc6eba242915605c67d8e845b81f2b8,Ben Geo Abraham,2025-04-03T19:19:12+05:30,Deprecate pandas backend in favor of Polars (#125),3,Index & pandas-specific semantics;Other / Manual,Index objects;Other pandas API,Expressions - Columns/names;Expressions - Functions;Other polars API,False,mesa_frames/concrete/__init__.py;mesa_frames/types_.py;tests/test_agents.py
mesa/mesa-frames,bf1ccd9328f260a746c21a6bad7e15a7a6898dc3,Adam Amer,2024-07-06T12:37:38+02:00,Changes to AgentSetDF and AgentsDF before time.py -> CopyMixin (#16),1,Other / Manual,,Other polars API,False,mesa_frames/types.py
monarch-initiative/pheval,4039f708fa30af0070245a47da2beba754eb5dff,Yasemin Bridges,2025-03-18T15:30:16+00:00,refactor generate_plots.py to work with polars dfs,1,Other / Manual,Other pandas API,Expressions - Columns/names,False,src/pheval/analyse/generate_plots.py
monarch-initiative/pheval,0badcb92ffda127491d17dd0ea37bc5616b417f5,Yasemin Bridges,2025-03-18T15:26:56+00:00,use polars in place of pandas for mapping gene identifiers and symbols,1,IO boundary,Input/output,Expressions - Columns/names;Expressions - Functions;Input/output - CSV,False,src/pheval/utils/phenopacket_utils.py
monarch-initiative/pheval,7c3c63e6e689d9a0aa452718f20efb838e1b28cf,Yasemin Bridges,2025-03-07T15:03:03+00:00,pandas to polars/parquet migration for post-processing methods,1,Other / Manual,Other pandas API,Expressions - Columns/names;Expressions - Functions,False,src/pheval/post_processing/post_processing.py
mpds-io/mpds-api,c51d69f3213be5b57c9339cc13d039b716d647dc,alinzh,2024-12-20T16:37:54+00:00,Change Pandas on Polars,2,Other / Manual,Other pandas API,Expressions - Columns/names;Expressions - Functions,False,kickoff/miner_bondlength.py;kickoff/miner_propstruct.py
mpds-io/mpds-client,402f8a186e234d0cab103c74bfceaf7f5e50e292,alinzh,2024-12-14T11:10:29+00:00,Change panda on polars in retrieve MPDS and tests,2,Aggregation & joins;Other / Manual,General functions;Other pandas API,Expressions - Columns/names;Expressions - Functions;Functions;Other polars API,False,mpds_client/retrieve_MPDS.py;mpds_client/test_retrieve_MPDS.py
nanxstats/plaintext-sims,73a39d90508bbc470ff5bb0066106dd6f5b1c7d7,Nan Xiao,2025-11-28T22:14:41-05:00,pandas -> polars,7,Aggregation & joins;Other / Manual,General functions;Other pandas API,Expressions - Columns/names;Functions;Other polars API,False,src/plaintext_sims/experiment.py;src/plaintext_sims/metrics.py;src/plaintext_sims/plot.py;src/plaintext_sims/run.py;tests/test_experiment.py;tests/test_metrics.py;tests/test_plot.py
narwhals-dev/narwhals,116962d4192ae5cbc3c359ffd29f53c2e4d7a8ed,Marco Edward Gorelli,2026-02-04T07:45:24+00:00,ci: run ibis and modin tests in separate workflows (#3446),1,Other / Manual,Other pandas API,Other polars API,False,narwhals/_utils.py
narwhals-dev/narwhals,f124786b61a74af238160da441f31e07ec28db75,Dan Redding,2025-10-03T21:53:25+00:00,feat: Support `polars.UInt128` (#3138),1,Index & pandas-specific semantics,Index objects,Functions,False,narwhals/_polars/utils.py
narwhals-dev/narwhals,79373f9944c296c2a5b4fa47a24ed8e96d640663,Francesco Bruzzesi,2025-07-26T17:26:13+02:00,refactor: Simplify compliant `Series.hist` (#2839),1,Other / Manual,Other pandas API,,False,tests/series_only/hist_test.py
narwhals-dev/narwhals,54bf3d3ec77092d4babc970f245efc2185274e96,Dan Redding,2025-07-03T14:39:52+01:00,"refactor: Cache, reuse `Implementation._backend_version` (#2764)",1,Other / Manual,,Other polars API,False,narwhals/schema.py
narwhals-dev/narwhals,8c255d2c067e9bb1e07e4d8a974423f9bd95ac30,Micha_ GÃ³rny,2025-03-19T17:44:29+01:00,"test: Fix yet more tests to work without polars (pandas, pyarrow) (#2250)",6,Import/setup-only;Other / Manual,Other pandas API,Other polars API,False,tests/expr_and_series/arithmetic_test.py;tests/expr_and_series/dt/ordinal_day_test.py;tests/expr_and_series/dt/total_minutes_test.py;tests/expr_and_series/rolling_var_test.py;tests/frame/collect_test.py;tests/translate/from_native_test.py
narwhals-dev/narwhals,bfce451d7c7b3e519b4ec8223de47df7d9aca639,Micha_ GÃ³rny,2025-03-19T15:47:44+01:00,"test: Fix more tests to work without polars (and pandas, pyarrow) (#2245)",11,Import/setup-only;Other / Manual,Other pandas API,Other polars API,False,tests/frame/invalid_test.py;tests/group_by_test.py;tests/hypothesis/basic_arithmetic_test.py;tests/hypothesis/join_test.py;tests/implementation_test.py;tests/pickle_test.py;tests/series_only/cast_test.py;tests/series_only/is_ordered_categorical_test.py;tests/translate/get_native_namespace_test.py;tests/translate/narwhalify_test.py;tests/translate/stable_narwhalify_test.py
narwhals-dev/narwhals,6e0672d891e0940a7e5739eacb3b1fd13ab75040,Micha_ GÃ³rny,2025-03-18T20:46:39+01:00,[WIP/rolling] test: Scope dataframe library imports to fixtures in `conftest.py` (#2241),3,Import/setup-only;Other / Manual,Other pandas API,Other polars API,False,tests/conftest.py;tests/dependencies/is_into_dataframe_test.py;tests/frame/lazy_test.py
narwhals-dev/narwhals,d2d55da6c07b4aafdd4f8f9f0c466bc5ddcc90c0,Marco Edward Gorelli,2025-02-17T15:22:10+00:00,chore: fix pandas-stubs issues (#2008),3,Other / Manual,Other pandas API,Other polars API,False,tests/frame/invalid_test.py;tests/hypothesis/basic_arithmetic_test.py;tests/series_only/cast_test.py
narwhals-dev/narwhals,82da0892732e4c1058d769c93cc3b6a424282cde,Francesco Bruzzesi,2025-01-20T07:45:51+01:00,test: decouple pyspark constructor from pandas (#1834),1,Other / Manual,Other pandas API,Other polars API,False,tests/conftest.py
narwhals-dev/narwhals,ffce1b635811eb36c2a168d51309db20fc218493,Francesco Bruzzesi,2025-01-13T16:58:26+01:00,feat: add `DataFrame` and `Series` `to_polars` (#1803),1,Other / Manual,Other pandas API,Other polars API,False,narwhals/series.py
narwhals-dev/narwhals,635ec46272da81f157d9d20879c402954ca5df55,Alessandro Miola,2025-01-04T12:41:01+01:00,docs: let `nw.LazyFrame` docstrings examples run on Polars and Dask only (#1700),1,Other / Manual,Other pandas API,Other polars API,False,narwhals/dataframe.py
narwhals-dev/narwhals,fb80986ce7e530ca3ae82a64ece8624152a71eb9,Marco Edward Gorelli,2024-07-20T21:24:09+01:00,chore: Factor out _polars from top-level Narwhals modules (i.e.: the mother of all refactors!) (#561),1,Other / Manual,Other pandas API,Other polars API,False,narwhals/translate.py
narwhals-dev/narwhals,3da5392ced80002cd4150b548bc5c4713f5f2a53,Francesco Bruzzesi,2024-07-15T09:59:57+02:00,test: conftest constructors refactoring (#515),1,Other / Manual,Other pandas API,Other polars API,False,tests/frame/test_common.py
narwhals-dev/narwhals,b35ef0758c393843dd4be7d172b7f64feff4673d,Francesco Bruzzesi,2024-07-04T13:21:13+02:00,patch: pandas-like drop hotfix (#394),1,Other / Manual,Other pandas API,Other polars API,False,narwhals/dataframe.py
narwhals-dev/narwhals,f77cd214441ccd1cd4cce45a4782823794a2c93b,Edoardo Abati,2024-06-25T22:47:51+02:00,refactor: Refactor and reorganise tests (#336),1,Other / Manual,Other pandas API,Other polars API,False,tests/test_group_by.py
narwhals-dev/narwhals,7844555fe3f5b90b6da327e6915138e4c27d6b1a,Marco Gorelli,2024-03-18T12:34:59+00:00,speed up pandas groupby,1,Other / Manual,Other pandas API,Expressions - Functions,False,narwhals/pandas_like/group_by.py
nielsen-oss/nebula,ebf0f0b82d964a3f4c06c4d40913b9107f9a11a7,Valerio.Maretti1,2025-10-26T16:23:44+01:00,python3.9 - spark==3.5.6 - pandas>=2 - polars>=1,17,Import/setup-only;Aggregation & joins;Other / Manual,General functions;Other pandas API;Testing,Expressions - Columns/names;Expressions - Functions;Functions;Other polars API,False,nlsn/nebula/backend_util.py;nlsn/nebula/df_types.py;nlsn/nebula/pipelines/_df_funcs.py;nlsn/nebula/shared_transformers/collection.py;nlsn/tests/auxiliaries.py;nlsn/tests/test_pipelines/test_pandas_polars_pipelines/auxiliaries.py;nlsn/tests/test_pipelines/test_pandas_polars_pipelines/test_pandas_polars.py;nlsn/tests/test_pipelines/test_pandas_polars_pipelines/test_pandas_polars_skip.py;nlsn/tests/test_pipelines/test_pandas_polars_pipelines/test_pandas_polars_split_function.py;nlsn/tests/test_transformers/collection/test_pandas_polars_create_dataframe.py;nlsn/tests/test_transformers/collection/test_pandas_polars_store_column_names.py;nlsn/tests/test_transformers/collection/test_pandas_polars_store_column_values.py;nlsn/tests/test_transformers/collection/test_pandas_polars_with_column.py;nlsn/tests/test_transformers/debug/test_pandas_polars_miscellaneous.py;nlsn/tests/test_transformers/filters/test_pandas_polars_drop_duplicates.py;nlsn/tests/test_transformers/schema/test_pandas_polars_sort_column_names.py;nlsn/tests/test_transformers/test_columns/test_pandas_polars_select_columns.py
opensource-observer/oso,8b6c0129a92874d54517f6ea126674b24cba6149,Reuven Gonzales,2024-12-18T19:00:34-08:00,Use polars and do an async write to gcs (#2672),1,Aggregation & joins,General functions,Functions,False,warehouse/metrics_tools/compute/worker.py
paucablop/chemotools,26ac41470d0a81ba46af54f6e202b922c6fb57e3,paucablop,2024-02-11T15:09:23+01:00,extend polars support to provided datasets,1,IO boundary,Input/output,Input/output - CSV,False,chemotools/datasets/_base.py
posit-dev/great-tables,cc6e783f5c7190f2d15c498f4d88ef2e30bb0159,Michael Chow,2023-11-28T15:30:48-05:00,feat: polars selectors usable in tab_spanners and cols_ funcs,1,Other / Manual,,Selectors,False,great_tables/_tbl_data.py
posit-dev/positron,80ecfa6f6f4ea8671c5d76807a3fbdb00d82965d,Isabel Zimmerman,2025-09-24T06:26:39-07:00,support previewing ibis tables in data explorer (#9393),1,Index & pandas-specific semantics,Index objects,Other polars API,False,extensions/positron-python/python_files/posit/positron/inspectors.py
posit-dev/positron,b0ad1b05a2af0dfa848300c7de0a4b77a5cb5597,Isabel Zimmerman,2025-08-22T06:43:23-07:00,data explorer: `polars` convert to code backend (#9077),1,Other / Manual,Other pandas API,Expressions - Columns/names;Expressions - Functions,False,extensions/positron-python/python_files/posit/positron/tests/test_convert.py
posit-dev/positron,06723e14b478de4afd79c88066001fc3cc89bfab,Wasim Lorgat,2025-07-18T20:36:01+02:00,Python: Safely and efficiently compute variable display values (#8545),1,Other / Manual,Other pandas API,Other polars API,False,extensions/positron-python/python_files/posit/positron/tests/test_inspectors.py
posit-dev/positron,a02c561fd7b8ed2bfa344f8feb3693e14bdf4ea1,Wes McKinney,2025-03-12T15:40:44-05:00,"Data Explorer: Support pandas.CategoricalDtype, polars.Categorical, enable sparklines for Polars (#6739)",1,Other / Manual,Other pandas API,Other polars API,False,extensions/positron-python/python_files/posit/positron/data_explorer.py
posit-dev/positron,47d689f16b26f48407f2a347e99ebc97228f76a4,Wasim Lorgat,2025-01-31T14:10:56+02:00,Fix some language server features not working in the console and in Jupyter notebooks e.g. hover and signature help (#6140),1,Other / Manual,Other pandas API,Other polars API,False,extensions/positron-python/python_files/posit/positron/tests/test_positron_jedilsp.py
posit-dev/positron,bd62a61e9ea6063c1d793c911ddc148701e6df31,Wes McKinney,2024-07-30T12:45:02-05:00,Data Explorer: Add schema cache for small schemas to facilitate checking for inplace updates with pandas and polars (#4184),2,Other / Manual,Other pandas API,Other polars API,False,extensions/positron-python/python_files/positron/positron_ipykernel/data_explorer.py;extensions/positron-python/python_files/positron/positron_ipykernel/tests/test_data_explorer.py
posit-dev/positron,a28877b9552fa86984e3463ee5ea183770dd787f,Wes McKinney,2024-07-22T08:00:00-05:00,Data Explorer: work around errors caused by upgrading from polars 0.20.x to 1.2.x (#4105),1,Aggregation & joins,General functions,Expressions - Functions,False,extensions/positron-python/python_files/positron/positron_ipykernel/tests/test_data_explorer.py
posit-dev/positron,c68ab28752b9ba894ca42c0d1418d08a4e23af51,Wes McKinney,2024-07-18T13:47:46-05:00,Data Explorer: Add summary stats profiling for polars (#4038),1,Other / Manual,Other pandas API,Other polars API,False,extensions/positron-python/python_files/positron/positron_ipykernel/data_explorer.py
posit-dev/positron,06d3a022bf0a830e02a533c598f895b606c50077,Wes McKinney,2024-07-10T02:12:17-05:00,"Data Explorer: Add ""search_schema"" support for polars, add 'match data types' support, introduce ""column filter"" RPC type, refactor row filters a bit (#3904)",1,Index & pandas-specific semantics,Index objects,Other polars API,False,extensions/positron-python/python_files/positron/positron_ipykernel/tests/test_data_explorer.py
posit-dev/positron,4d8266f3bbf8488768230f91a5c82b273f0732da,Wes McKinney,2024-07-01T11:08:46-05:00,"Data Explorer: Add polars sorting and row filtering speed up get_data_values, process schema changes to invalidate filters and sort columns (#3672)",2,Aggregation & joins;Other / Manual,General functions;Other pandas API,DataFrame - Manipulation/selection;Expressions - Columns/names;Series - Manipulation/selection,False,extensions/positron-python/python_files/positron/positron_ipykernel/data_explorer.py;extensions/positron-python/python_files/positron/positron_ipykernel/tests/test_data_explorer.py
posit-dev/positron,08d4f2ef0b9e72a3a5633e7059c2d950c8bd80c2,Wasim Lorgat,2024-06-06T15:18:55-05:00,Variables: Handle repeated pandas column labels when inspecting; Rework variables service tests (#3426),3,Other / Manual,Other pandas API,Other polars API,False,extensions/positron-python/python_files/positron/positron_ipykernel/inspectors.py;extensions/positron-python/python_files/positron/positron_ipykernel/tests/test_inspectors.py;extensions/positron-python/python_files/positron/positron_ipykernel/tests/test_variables.py
posit-dev/positron,70ff9be527e1a7e14b55497668736e9b09117c41,Wes McKinney,2024-06-05T21:45:19-05:00,Variables: Handle repeated pandas row labels when inspecting  (#3414),1,Other / Manual,Other pandas API,Other polars API,False,extensions/positron-python/python_files/positron/positron_ipykernel/tests/test_inspectors.py
posit-dev/positron,305df01497d1fc25e70ec5c14ee96924db711b70,Wes McKinney,2024-01-25T09:56:33-06:00,"Preliminary Data Tool comm implementation, pandas support for getting values and several filter types (posit-dev/positron-python#316)",1,Other / Manual,Other pandas API,Other polars API,False,extensions/positron-python/pythonFiles/tests/positron/test_variables.py
posit-dev/positron,19caff4f584a675cb66699040dba061d66d0dde9,Wasim Lorgat,2023-12-13T09:22:09-06:00,Support pandas and polars dataframe column completion; include dataframe/series preview in completions (posit-dev/positron-python#276),1,Index & pandas-specific semantics,Index objects,Other polars API,False,extensions/positron-python/pythonFiles/positron/inspectors.py
posit-dev/positron,de4823ecbc2f8ec326483affca1f1b5dd6fc5d39,Wasim Lorgat,2023-11-08T08:48:32-06:00,support pandas indexes in the environment pane (posit-dev/positron-python#248),2,Other / Manual,Other pandas API,Other polars API,False,extensions/positron-python/pythonFiles/positron/inspectors.py;extensions/positron-python/pythonFiles/tests/positron/test_environment.py
posit-dev/positron,4845cccf4fdf7405dcb7810051239d7e356f0a2d,Pete Farland,2023-03-29T15:29:40-05:00,Env comm: add awareness for ndarray and pandas series (posit-dev/positron-python#54),1,Other / Manual,Other pandas API,Other polars API,False,extensions/positron-python/pythonFiles/positron_ipkernel.py
saturdata/resources,2255b9378ed92f38328f403a9e2cd95dc475303f,Shifra Williams,2025-10-16T23:45:02-07:00,fix: polars errors,1,IO boundary;Aggregation & joins,General functions;Input/output,Expressions - Columns/names;Input/output - CSV,False,season-1/sql/resource.py
seojaeohcode/atio,b12b951cbc64f7e64322f4c8c3d1572773c7e31e,realstone3639,2025-07-21T11:32:00+09:00,"pandas numpy polars ë©___ ì§_ ë° ___ ì¶__, WRITER_MAPPING êµ¡° ë³ê²",1,Other / Manual,,Other polars API,False,atomicwriter/plugins.py
ultralytics/ultralytics,bcb1961a9b611380ac70e3e6f516fb5c794805bb,Jing Qiu,2025-08-26T13:22:44+08:00,"refactor: __ switch core data ops from `pandas` to `polars` (training, benchmarks, plotting, W&B) (#21619)",5,IO boundary;Aggregation & joins;Missing values;Other / Manual,General functions;Input/output;Missing values;Options and settings;Other pandas API,Config;Expressions - Columns/names;Input/output - CSV;Selectors,False,ultralytics/engine/trainer.py;ultralytics/utils/__init__.py;ultralytics/utils/benchmarks.py;ultralytics/utils/callbacks/wb.py;ultralytics/utils/plotting.py
vangberg/pdit,635cb8a0ac9e1facea06ef94a297339fc2ca1eea,Harry Vangberg,2025-12-02T12:36:23+01:00,Address PR review comments,1,Aggregation & joins;Missing values,General functions;Missing values,Other polars API,False,rdit/executor.py
vedantparikh/portfolia,ad8e199ff71035eb803c4287ae77f17128a8d33c,Vedant Parikh,2025-08-26T21:11:20+02:00,feat(PA-9): moves from pandas to polars for better performance and adds unit tests,8,Other / Manual,Other pandas API,Expressions - Columns/names;Expressions - Functions;Functions;Other polars API,False,portfolio/python/api/market/stock.py;portfolio/python/api/statistical_indicators/base.py;portfolio/python/api/statistical_indicators/momentum_indicators.py;portfolio/python/api/statistical_indicators/trend_indicators.py;portfolio/python/api/statistical_indicators/volatility_indicators.py;portfolio/python/api/statistical_indicators/volume_indicators.py;portfolio/python/api/trading_strategy/trend_strategy/gfs_strategy/gfs.py;portfolio/python/api/trading_strategy/trend_strategy/macd_strategy.py
vertti/daffy,d43cbdb2528f1f6ec0ff9395204e42f2a5660bd7,Janne Sinivirta,2025-12-17T13:13:04+02:00,Parametrize optional column tests for pandas/polars,1,Other / Manual,Other pandas API,Other polars API,False,tests/test_optional_columns.py
vertti/daffy,958b892541143a311ad9d7afe02963c5dcd352c6,Janne Sinivirta,2025-12-16T21:03:04+02:00,Parametrize test_nullable.py for pandas/polars,1,Other / Manual,Other pandas API,Other polars API,False,tests/test_nullable.py
vertti/daffy,cd14a33e51c08fa5e239224158cae2c2a1b61c40,Janne Sinivirta,2025-11-26T13:36:37+02:00,Modernize type hints and simplify code patterns,2,Other / Manual,Other pandas API,Other polars API,False,daffy/dataframe_types.py;daffy/utils.py
vertti/daffy,4a0fe2f9d8a17c432d108c53db978e42c4ca2df9,Janne Sinivirta,2025-09-22T09:25:23+03:00,make import of pandas or polars optional (#34),2,Import/setup-only;Other / Manual,Other pandas API,Other polars API,False,daffy/decorators.py;daffy/utils.py
vertti/daffy,29a6c922edf55982ee9b5a704f806327a9dad62c,Janne Sinivirta,2025-03-10T14:27:21+02:00,import pandas-stubs and fix tests and mypy,1,Other / Manual,Other pandas API,Other polars API,False,tests/test_df_log.py
vertti/daffy,072b09620585324840b570f908cfba3367702ef3,Janne Sinivirta,2025-01-12T16:21:32+02:00,"implement full support for Polars dataframes, parametrize tests to use both",2,Other / Manual,Other pandas API;Testing,Data types;Other polars API,False,daffy/decorators.py;tests/test_decorators.py
vertti/daffy,c50cb863f9e70e8c3b80c097f247f93e02863a93,Janne Sinivirta,2025-01-12T12:39:55+02:00,add initial support for polars dataframes,2,Other / Manual,Other pandas API,Other polars API,False,daffy/decorators.py;tests/test_decorators.py
vietvudanh/vietlott-data,70cc5c8c095da43fe18639a77b7de07454c60ffa,Copilot,2025-12-01T11:52:24+07:00,Refactor ML code into isolated src/machine_learning module with optional dependencies (#29),1,Aggregation & joins,General functions,Expressions - Columns/names;Functions,False,src/render_readme.py
vietvudanh/vietlott-data,21d8f289920880233784c376c4091785f98ac1ae,Viet VU,2025-10-31T11:45:24+07:00,Make column names unique before Polars conversion Make column names unique before Polars conversion,1,Other / Manual,Other pandas API,Other polars API,False,src/render_readme.py
visivo-io/visivo,79e5f0d813180c8c0893ef02c41fc05b6499076a,Jared Jesionek,2025-06-18T13:41:00-04:00,Jared/replace pandas with polars (#258),4,IO boundary;Other / Manual,Input/output,Expressions - Columns/names;Input/output - CSV;Input/output - JSON;Other polars API,False,tests/models/models/test_local_merge_model.py;visivo/models/models/csv_script_model.py;visivo/models/sources/sqlalchemy_source.py;visivo/query/aggregator.py
vpduchuynh/ims-coding-agent,5aa6145c2baf47bd36b24bd39118ccdb5046e853,copilot-swe-agent[bot],2025-06-06T09:13:14+00:00,Migrate data_io.py and reporting.py from pandas to polars,2,IO boundary;Aggregation & joins;Missing values;Other / Manual,General functions;Input/output;Missing values;Other pandas API,Expressions - Columns/names;Input/output - CSV;Input/output - Excel;Other polars API,False,src/data_io.py;src/reporting.py
xoity/schedule-finder,adebe71396cc0773c381640da7eb60b796e1b605,Mohammad Abu-Khader,2025-04-06T12:27:33+04:00,Replace pandas with polars for improved performance in data handling; update requirements.txt accordingly,1,IO boundary,Input/output,Expressions - Columns/names;Input/output - CSV,False,app.py
y9c/metagene,413a84a293cde0904d895c21f9f4481795abce35,copilot-swe-agent[bot],2025-10-30T20:10:04+00:00,Replace pyranges1 and pandas with ruranges and polars,1,Aggregation & joins,General functions,Expressions - Columns/names;Expressions - Functions;Functions,False,metagene/overlap.py
