Test,repo,sha,author,date_iso,subject,file_path,pandas_type_all,polars_type_all,macro_primary,macro_all,macro_evidence,pandas_evidence,polars_evidence,patch_lines_file,pandas_type_all.1,polars_type_all.1,macro_all.1
No,bcgov/sdpr-cdw-data-pipelines,9117c73f40feb8e4e2a38ffbef14387094b8c2aa,James Scott,2025-02-19T10:43:34-08:00,Chips migration from pandas to polars (#7),chips/chips-src-to-stg/src/peoplesoft_etl.py,DataFrame,Other polars API,Core dataframe transforms,Core dataframe transforms,pandas:DataFrame->Core dataframe transforms,DataFrame:\b(?:pd|pandas)\.DataFrame\.\w+,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,41,,,
No,bcgov/sdpr-cdw-data-pipelines,9117c73f40feb8e4e2a38ffbef14387094b8c2aa,James Scott,2025-02-19T10:43:34-08:00,Chips migration from pandas to polars (#7),chips/chips-src-to-stg/src/utils.py,Other pandas API,Expressions - Columns/names;Expressions - Functions;Functions,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b,225,,,
Yes,biodatageeks/polars-bio,246017fa22746ef68237b4fb71b4c749b5635697,zkeram,2025-06-03T07:14:05+02:00,fix: More input combinations of polars and pandas and refactor (#125),polars_bio/range_op_helpers.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,66,,,
Yes,biodatageeks/polars-bio,246017fa22746ef68237b4fb71b4c749b5635697,zkeram,2025-06-03T07:14:05+02:00,fix: More input combinations of polars and pandas and refactor (#125),polars_bio/range_op_io.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,54,,,
Yes,biodatageeks/polars-bio,2ae3f74905a7adffe28a301590f36c22f254da22,zkeram,2025-02-11T19:31:47+00:00,feat: Add `merge` function (#79),polars_bio/interval_op_helpers.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,65,,,
Yes,biodatageeks/polars-bio,99aff9e079cb61dc655298c193b6f96254bf9b21,Wojciech Sitek,2025-09-12T09:54:55+02:00,fix: Polars >1.31.0 support (#233),polars_bio/range_op_helpers.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,205,,,
Yes,biodatageeks/polars-bio,99aff9e079cb61dc655298c193b6f96254bf9b21,Wojciech Sitek,2025-09-12T09:54:55+02:00,fix: Polars >1.31.0 support (#233),polars_bio/range_op_io.py,Other pandas API,Functions,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b,69,,,
Yes,biodatageeks/polars-bio,e382f954c37e6e65280539e88cee50c1f99b12d5,Marek WiewiÃ³rka,2026-01-25T16:09:02+01:00,perf: Fix DataFrame input slowdown by releasing GIL (#71) (#271),polars_bio/range_op_helpers.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,150,,,
Yes,biodatageeks/polars-bio,f8c39fbdc04443f0228b3ddcc5678baa4749e52e,Marek WiewiÃ³rka,2025-08-13T06:45:56+02:00,fix: Making Pandas dependency optional (#195),polars_bio/interval_op_helpers.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,26,,,
Yes,biodatageeks/polars-bio,f8c39fbdc04443f0228b3ddcc5678baa4749e52e,Marek WiewiÃ³rka,2025-08-13T06:45:56+02:00,fix: Making Pandas dependency optional (#195),polars_bio/range_op.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,51,,,
Yes,biodatageeks/polars-bio,f8c39fbdc04443f0228b3ddcc5678baa4749e52e,Marek WiewiÃ³rka,2025-08-13T06:45:56+02:00,fix: Making Pandas dependency optional (#195),polars_bio/range_op_helpers.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,30,,,
Yes,biodatageeks/polars-bio,f8c39fbdc04443f0228b3ddcc5678baa4749e52e,Marek WiewiÃ³rka,2025-08-13T06:45:56+02:00,fix: Making Pandas dependency optional (#195),polars_bio/range_op_io.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,31,,,
Yes,biodatageeks/polars-bio,f8c39fbdc04443f0228b3ddcc5678baa4749e52e,Marek WiewiÃ³rka,2025-08-13T06:45:56+02:00,fix: Making Pandas dependency optional (#195),polars_bio/range_utils.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,29,,,
No,blackerby/gpo,c7583b00ed01a333fe519ed187b52027475e0778,William Blackerby,2025-01-04T08:59:07-05:00,replace pandas and requests with polars and httpx,main.py,DataFrame,Expressions - Columns/names;Expressions - Functions,Core dataframe transforms,Core dataframe transforms,pandas:DataFrame->Core dataframe transforms,DataFrame:\b(?:pd|pandas)\.DataFrame\.\w+,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b,25,,,
Unclear,brandonschabell/alphaflow,2cd223f5ddfb8b31d4d7c2960dbe25f65ba31423,Brandon Schabell,2025-11-11T15:37:29-06:00,Replace pandas with polars (#33),alphaflow/data_feeds/csv_data_feed.py,Input/output,Expressions - Columns/names;Expressions - Functions;Input/output - CSV,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,33,,,
No,bttex/processador_csv,a7bbd9a59d5dc5a573b61723c062a88240f391d9,Bruno Teixeira,2025-04-10T14:22:16-03:00,feat: substituido pandas por polars,processador.py,Input/output;General functions,Expressions - Columns/names;Expressions - Functions;Input/output - CSV;Input/output - Excel;Input/output - Parquet,IO boundary,IO boundary;Aggregation & joins,pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:to_numeric|to_datetime|to_timedelta)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b|Input/output - Excel:\b(?:pl|polars)\.(?:read_excel|read_ods)\b|Input/output - Parquet:\b(?:pl|polars)\.(?:read_parquet|read_parquet_metadata|read_parquet_schema|scan_parquet)\b,482,,,
No,carolinajacoby/sia-sus,fa58d77bfb58dcd89c137f76674f7e9620c27e3a,Carolina Jacoby,2025-10-07T12:10:01-03:00,refactor: Migra ETL de Pandas para Polars para melhor performance.,transform/process_data.py,Input/output;General functions,Functions;Input/output - Parquet,IO boundary,IO boundary;Aggregation & joins,pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:merge|merge_ordered|merge_asof|concat)\b,Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b|Input/output - Parquet:\b(?:pl|polars)\.(?:read_parquet|read_parquet_metadata|read_parquet_schema|scan_parquet)\b,102,,,
No,ctasada/stonks-overwatch,017b4ef297b2936c5d1037bdb076e304f27ab2b6,Carlos Tasada,2025-09-04T07:22:44+02:00,Replace Pandas for Polars or local implementations (#177),scripts/degiro/account_overview.py,General functions,Expressions - Columns/names,Aggregation & joins,Aggregation & joins,pandas:General functions->Aggregation & joins,General functions:\b(?:pd|pandas)\.(?:merge|merge_ordered|merge_asof|concat)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b,44,,,
No,ctasada/stonks-overwatch,017b4ef297b2936c5d1037bdb076e304f27ab2b6,Carlos Tasada,2025-09-04T07:22:44+02:00,Replace Pandas for Polars or local implementations (#177),scripts/portfolio-performance/deGiroAnalysis.py,Input/output,Expressions - Columns/names;Input/output - CSV,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,52,,,
No,ctasada/stonks-overwatch,017b4ef297b2936c5d1037bdb076e304f27ab2b6,Carlos Tasada,2025-09-04T07:22:44+02:00,Replace Pandas for Polars or local implementations (#177),scripts/portfolio-performance/deGiroConverterAccount.py,Input/output,Expressions - Columns/names;Expressions - Functions;Functions;Input/output - CSV,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,128,,,
No,ctasada/stonks-overwatch,017b4ef297b2936c5d1037bdb076e304f27ab2b6,Carlos Tasada,2025-09-04T07:22:44+02:00,Replace Pandas for Polars or local implementations (#177),scripts/portfolio-performance/deGiroConverterTrans.py,Input/output,Expressions - Columns/names;Expressions - Functions;Functions;Input/output - CSV,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,45,,,
No,ctasada/stonks-overwatch,017b4ef297b2936c5d1037bdb076e304f27ab2b6,Carlos Tasada,2025-09-04T07:22:44+02:00,Replace Pandas for Polars or local implementations (#177),src/stonks_overwatch/services/aggregators/deposits_aggregator.py,DataFrame,Expressions - Columns/names,Core dataframe transforms,Core dataframe transforms,pandas:DataFrame->Core dataframe transforms,DataFrame:\b(?:pd|pandas)\.DataFrame\.\w+,Expressions - Columns/names:\b(?:pl|polars)\.col\b,62,,,
No,ctasada/stonks-overwatch,017b4ef297b2936c5d1037bdb076e304f27ab2b6,Carlos Tasada,2025-09-04T07:22:44+02:00,Replace Pandas for Polars or local implementations (#177),src/stonks_overwatch/services/brokers/degiro/services/deposit_service.py,General functions;DataFrame,Expressions - Columns/names;Expressions - Functions,Aggregation & joins,Aggregation & joins;Core dataframe transforms,pandas:General functions->Aggregation & joins|pandas:DataFrame->Core dataframe transforms,General functions:\b(?:pd|pandas)\.(?:to_numeric|to_datetime|to_timedelta)\b|DataFrame:\b(?:pd|pandas)\.DataFrame\.\w+,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b,100,,,
No,ctasada/stonks-overwatch,017b4ef297b2936c5d1037bdb076e304f27ab2b6,Carlos Tasada,2025-09-04T07:22:44+02:00,Replace Pandas for Polars or local implementations (#177),src/stonks_overwatch/services/brokers/degiro/services/update_service.py,Input/output;General functions;Missing values,Expressions - Columns/names,IO boundary,IO boundary;Aggregation & joins;Missing values,pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins|pandas:Missing values->Missing values,Input/output:\b(?:pd|pandas)\.json_normalize\b|General functions:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b|Missing values:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b,62,,,
No,ctasada/stonks-overwatch,017b4ef297b2936c5d1037bdb076e304f27ab2b6,Carlos Tasada,2025-09-04T07:22:44+02:00,Replace Pandas for Polars or local implementations (#177),src/stonks_overwatch/views/dashboard.py,General functions,Expressions - Functions,Aggregation & joins,Aggregation & joins,pandas:General functions->Aggregation & joins,General functions:\b(?:pd|pandas)\.(?:date_range|bdate_range|period_range|timedelta_range|infer_freq|interval_range)\b,Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b,51,,,
No,dagster-io/community-integrations,855a2e0eceb3e07c404b1c46ed2b901bcfe2febd,Deepyaman Datta,2025-05-02T15:12:10-06:00,[dagster-iceberg] Remove pandas for Polars example (#194),libraries/dagster-iceberg/src/dagster_iceberg/io_manager/polars.py,Input/output,Input/output - CSV,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b,Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,28,,,
No,davidstyers/vegas,2efdcbafd1cb4dab0c96db1f6e9132a5cdeb3166,dstyers,2025-07-31T06:26:40+00:00,"Implement migration from pandas to polars for improved performance and memory efficiency. Update dependencies, documentation, and examples to reflect the new data processing library. Add a changelog and migration guide to assist users in transitioning to the new API. Enhance timezone handling and database-level filtering capabilities.",examples/weekly_spy_trader.py,Other pandas API,Expressions - Columns/names,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Expressions - Columns/names:\b(?:pl|polars)\.col\b,27,,,
No,davidstyers/vegas,2efdcbafd1cb4dab0c96db1f6e9132a5cdeb3166,dstyers,2025-07-31T06:26:40+00:00,"Implement migration from pandas to polars for improved performance and memory efficiency. Update dependencies, documentation, and examples to reflect the new data processing library. Add a changelog and migration guide to assist users in transitioning to the new API. Enhance timezone handling and database-level filtering capabilities.",vegas/data/data_layer.py,"Input/output;General functions;pandas arrays, scalars, and data types;Index objects",Expressions - Columns/names;Expressions - Functions;Functions;Data types;Input/output - CSV,IO boundary,IO boundary;Aggregation & joins;Types & schema;Index & pandas-specific semantics,"pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins|pandas:pandas arrays, scalars, and data types->Types & schema|pandas:Index objects->Index & pandas-specific semantics|patch:index type keyword","Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:merge|merge_ordered|merge_asof|concat)\b|pandas arrays, scalars, and data types:\b(?:pd|pandas)\.(?:Timestamp|Timedelta|Period|Interval|Categorical)(?:\.\w+)*\b|Index objects:\b(?:pd|pandas)\.(?:Index|RangeIndex|MultiIndex|DatetimeIndex|TimedeltaIndex|PeriodIndex|IntervalIndex|CategoricalIndex)\b",Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b|Data types:\b(?:pl|polars)\.datatypes\.\w+\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,344,,,
