ordinal,snippet_id,l1,l2,l3,test_review,primary_layer,primary_category,cascade,evidence,action
221,scoring_compare_methylation_pattern_multiprocessed_migration,pass,pass,pass,valid,none,none,none,Multiprocessed comparison output agrees.,none
222,scoring_define_mean_methylation_thresholds_migration,pass,pass,pass,valid,none,none,none,Mean threshold construction agrees.,none
223,scoring_process_bin_contig_merge_migration,pass,pass,pass,valid,none,none,none,Bin-contig merge behaviour agrees.,none
224,src_onemod_utils_parameters_create_params_migration,pass,pass,pass,valid,none,none,none,Parameter creation output agrees.,none
225,src_onemod_utils_parameters_get_params_migration,pass,pass,pass,valid,none,none,none,Parameter retrieval output agrees.,none
226,tesseract_ocr_concat_lazy,pass,pass,pass,valid,none,none,none,Tesseract OCR lazy concatenation agrees.,none
227,tesseract_ocr_from_dicts,pass,pass,pass,valid,none,none,none,Tesseract OCR dictionary conversion agrees.,none
228,ultralytics_benchmarks_config,pass,pass,pass,valid,none,none,none,Benchmark configuration output agrees.,none
229,ultralytics_benchmarks_dataframe,pass,pass,pass,valid,none,none,none,Benchmark DataFrame output agrees.,none
230,ultralytics_benchmarks_metrics,pass,pass,pass,valid,none,none,none,Benchmark metric output agrees.,none
231,ultralytics_trainer_read_csv,pass,pass,pass,valid,none,none,none,Trainer CSV input behaviour agrees.,none
232,ultralytics_wb_custom_table,pass,pass,pass,valid,none,none,none,Weights and Biases custom table output agrees.,none
233,visivo_sqlalchemy_read_sql,pass,pass,pass,valid,none,none,none,SQLAlchemy query result agrees.,none
234,vnc_cmatrix_loc_filter_item,pass,pass,pass,valid,none,none,none,Connectivity-matrix filtered item lookup agrees.,none
235,vnc_cmatrix_lookup_init,pass,pass,pass,valid,none,none,none,Lookup initialisation state agrees.,none
236,vnc_cmatrix_reindex,pass,pass,fail,valid,L3,dtype-sensitive behaviour,none,A valid lookup containing NaN row indices causes strict Int64 Polars Series construction to fail while pandas reindexes it.,none
237,vnc_cmatrix_sort_tolist,pass,pass,pass,valid,none,none,none,Sorted list conversion agrees.,none
238,vnc_cmatrix_uid_to_index,pass,pass,pass,valid,none,none,none,UID-to-index mapping agrees.,none
